Emotion,Dish Name,Cuisine,Ingredients,Instructions
surprise,Mango Lassi,Drink,"Ripe mango, Yogurt, Sugar, Cardamom, Ice","Blend all ingredients for a vibrant, bright yellow drink that tastes like sunshine."
surprise,Samosa Chaat,Street Food,"Samosas, Chickpea curry, Yogurt, Tamarind chutney, Sev","Crush samosas and top with hot curry and cold yogurt for a flavor explosion."
love,Chocolate Fondue,Dessert,"Melted chocolate, Strawberries, Marshmallows, Cake cubes","Melt chocolate smoothly. Dip fruits and sweets together for a shared experience."
love,Spaghetti Carbonara,Italian,"Pasta, Eggs, Pecorino cheese, Guanciale/Bacon, Black pepper","Creamy, rich, and made with heart. Emulsify egg and cheese for a perfect sauce."
love,Sel Roti & Chiya,Nepali,"Rice flour, Ghee, Sugar, Cardamom, Milk tea","Prepare sweet ring-shaped bread and serve with a hot, spiced milk tea."
love,Rosemary Roasted Chicken,Roast,"Whole chicken, Rosemary, Garlic, Lemon, Olive oil","Roast chicken with aromatics until skin is crispy and meat is tender and juicy."
love,Strawberry Cheesecake,Dessert,"Cream cheese, Graham cracker crust, Sugar, Fresh strawberries","A sweet, indulgent treat that is perfect for sharing with someone special."
neutral,Tuna Salad Sandwich,Quick,"Canned tuna, Mayonnaise, Celery, Bread, Salt, Pepper","Mix tuna, mayo, and chopped celery. Season well and spread evenly on two slices of bread."
neutral,Hard-Boiled Eggs,Snack,"Eggs, Water, Salt","Place eggs in cold water, bring to a boil, then cover and let stand for 10 minutes. Cool and peel."
neutral,Aloo Chop (Potato Fritters),Nepali,"Boiled potatoes, Gram flour, Spices, Oil for frying","Mash potatoes with spices, coat in a gram flour batter, and deep fry until golden brown."
neutral,Grilled Cheese Sandwich,Comfort,"Bread, Butter, Sliced cheese","Butter the outside of the bread. Place cheese between slices and grill in a pan until cheese is melted."
neutral,Plain Rice and Curd,Staple,"Cooked rice, Curd/Dahi, Sugar (optional)","Mix warm rice with plain curd. Add sugar or salt to taste. A common, simple, daily meal."
neutral,Overnight Oats,Breakfast,"Oats, Milk, Chia seeds, Maple syrup","Mix all ingredients in a jar, refrigerate overnight. Eat cold in the morning."
neutral,Scrambled Eggs on Toast,Quick,"Eggs, Milk, Butter, Salt, Pepper, Toast","Whisk eggs with milk, cook in butter until fluffy. Serve immediately on buttered toast."
neutral,Basic Vegetable Stir-fry,Simple,"Broccoli, Carrots, Soy sauce, Garlic, Ginger, Rice","Quickly sauté veggies with garlic and ginger. Add soy sauce. Serve over steamed rice."
neutral,Plain Yogurt and Granola,Snack,"Plain yogurt, Granola, Berries (optional)","Layer yogurt and granola in a bowl. Add a few berries for light flavor."
neutral,Tea and Rusks,Light,"Black tea, Sugar, Milk, Rusks (hard bread biscuits)","Brew strong tea, dip the rusk in it until soft, and enjoy. The classic low-effort snack."
